creation,exit,response,execution,wait,io
7850,7990,140,112,28,0
7852,8017,165,27,134,4
7863,8087,224,58,159,7
7871,8020,149,3,139,7
7873,8165,292,60,228,4
7878,8271,393,23,342,28
7990,9131,1141,2,879,260
8020,8303,283,1,280,1
8166,8367,201,64,136,1
8190,8483,293,84,209,0
8217,8514,297,1,295,0
8271,8569,298,6,292,0
8367,8533,166,18,148,0
9133,9197,64,33,30,0
8533,8724,191,30,99,62
8569,8848,279,94,91,93
8600,8975,375,96,216,62
8631,9029,398,24,342,31
8662,9064,402,4,397,0
8724,9096,372,2,370,0
8848,9132,284,1,282,0
8975,9230,255,3,252,0
9029,9262,233,1,231,0
9064,9100,36,4,32,0
9100,9133,33,1,31,0
9197,9265,68,3,65,0
9230,9297,67,1,65,0
9297,9554,257,11,64,182
9327,9570,243,17,74,159
9357,9599,242,22,97,123
9517,9702,185,103,62,20
9387,9577,190,7,232,95
9416,9732,316,11,232,73
9508,9746,238,14,195,29
7851,9534,1683,4,876,1017
7880,9534,1654,1,1274,593
8087,9805,1718,60,615,1043
8483,9856,1373,53,453,867
7847,9858,2011,14,138,1858
9265,9902,637,47,384,205
7849,9904,2055,7,193,1855
9444,9910,466,5,404,57
9503,9927,424,17,372,35
9466,9937,471,9,413,49
9505,9996,491,57,400,34
9482,10003,521,6,471,44
9506,10073,567,71,464,33
9513,10124,611,46,539,26
9507,10128,621,1,588,32
9510,10167,657,39,589,29
9512,10172,660,2,631,27
9519,10224,705,50,635,20
9501,10264,763,38,687,38
9514,10351,837,85,727,25
7876,10408,2532,50,1891,592
9504,10458,954,52,867,35
9491,10460,969,2,594,373
9518,10517,999,51,642,306
9516,10567,1051,53,971,27
9520,10625,1105,59,1021,25
9498,10746,1248,1,633,614
9511,11136,1625,3,589,1033
9509,11330,1821,2,589,1230
9515,11510,1995,2,685,1308
17555,17706,151,122,29,0
17557,17733,176,27,139,10
17558,17857,299,64,226,9
17569,17876,307,2,295,10
17576,17792,216,59,150,7
17581,17906,325,24,299,2
17585,18985,1400,1,888,511
17706,18058,352,1,291,60
17857,18133,276,75,140,60
17906,18250,344,86,166,91
17935,18281,346,1,285,60
17965,18341,376,6,340,30
17995,18304,309,23,286,0
18133,18616,483,32,329,122
19017,19058,41,10,31,0
18250,18431,181,90,91,0
18304,18758,454,112,219,122
18431,18813,382,24,265,92
18462,18846,384,3,319,62
18492,18880,388,2,355,31
18522,18916,394,1,392,0
18553,18951,398,3,394,0
18616,18848,232,2,230,0
18758,18884,126,4,121,0
18813,18918,105,2,103,0
18848,19017,169,32,137,0
18884,18954,70,3,66,0
18918,19059,141,1,140,0
19089,19349,260,24,63,173
19119,19356,237,7,85,145
19149,19367,218,11,91,116
19287,19382,95,15,44,36
17583,19314,1731,1,1233,586
17792,19471,1679,70,372,1236
17556,19314,1758,5,850,1062
18025,19533,1508,65,593,850
17554,19536,1982,8,143,1831
18954,19591,637,58,354,224
19059,19609,550,14,331,205
17578,19676,2098,60,1808,230
17552,19595,2043,13,276,1836
19293,19764,471,84,352,35
19179,19772,593,4,497,92
19208,19782,574,9,492,73
19238,19789,551,6,490,55
19278,19831,553,37,461,55
19286,19792,506,2,457,47
19284,19890,606,56,499,51
19289,19932,643,39,554,50
19280,19953,673,17,596,59
19299,20020,721,70,624,27
19285,20103,818,80,681,57
19291,20106,815,2,761,52
19292,20148,856,41,764,51
19296,20242,946,92,806,48
19297,20300,1003,57,914,32
19258,20301,1043,2,569,472
19298,20353,1055,51,959,45
19282,20417,1135,61,1016,57
19295,20485,1190,60,872,258
19273,20582,1309,2,601,706
19290,20816,1526,4,287,1235
19288,20966,1678,2,368,1308
19294,21472,2178,1,902,1275
21475,21608,133,106,27,0
21477,21640,163,32,123,8
21478,21761,283,54,213,16
21479,21764,285,3,267,15
21490,21706,216,58,151,7
21499,21806,307,22,274,11
21504,22931,1427,1,797,629
21608,21954,346,1,256,89
21706,22036,330,82,158,89
21761,22152,391,84,247,60
21806,22183,377,1,287,89
21832,22240,408,7,341,60
21861,22203,342,20,292,30
21921,22489,568,30,446,92
22036,22600,564,80,391,92
22931,23224,293,25,44,238
22152,22336,184,96,88,0
22203,22658,455,28,335,92
22336,22691,355,3,289,62
22367,22725,358,2,325,31
22397,22761,364,1,362,0
22428,22796,368,3,364,0
22489,22693,204,2,201,0
22600,22729,129,4,125,0
22658,22762,104,1,103,0
22693,22869,176,39,137,0
22729,22799,70,3,66,0
22762,22901,139,2,136,0
22799,23292,493,55,190,247
22869,23199,330,11,97,222
22901,23238,337,14,140,256
22962,23322,360,9,156,195
23144,23367,223,45,133,44
21476,23178,1702,4,791,1098
21640,23435,1795,69,558,1167
21474,23437,1963,7,136,1820
21891,23494,1603,61,729,813
22992,23509,517,13,335,169
23150,23548,398,39,319,40
21502,23549,2047,1,1098,948
23021,23555,534,7,388,139
23146,23628,482,73,366,43
23050,23638,588,8,472,108
23147,23639,492,1,449,42
23148,23662,514,15,457,42
23154,23735,581,71,471,40
23079,23742,663,6,573,84
23152,23744,592,2,549,41
23157,23837,680,91,550,39
23134,23882,748,39,654,55
21473,23641,2168,13,508,1888
23140,23902,762,15,690,57
21497,23965,2468,60,1803,605
23142,24025,883,62,777,43
23107,24026,919,2,663,254
23153,24080,927,52,825,50
23159,24132,973,49,878,46
23158,24195,1037,59,932,46
23156,24254,1098,62,856,180
23160,24321,1161,69,1048,44
23123,24465,1342,3,698,641
23151,24741,1590,2,514,1074
23149,24897,1748,3,519,1226
23155,25104,1949,2,614,1333
