creation,exit,response,execution,wait,io
307,409,102,90,12,0
306,436,130,119,11,0
312,465,153,27,126,0
310,480,170,72,98,0
311,538,227,54,171,2
315,540,225,2,223,0
340,561,221,21,200,0
343,566,223,5,218,0
348,604,256,37,219,0
304,647,343,181,163,0
351,664,313,59,254,0
353,666,313,1,312,0
338,690,352,10,342,0
359,692,333,2,331,0
317,718,401,65,335,1
316,800,484,61,368,55
367,826,459,64,390,5
308,845,537,2,534,0
319,859,540,2,539,0
321,881,560,21,539,0
352,888,536,166,370,0
323,911,588,29,559,0
318,984,666,86,580,0
320,992,672,7,665,0
325,1027,702,115,587,0
322,1082,760,49,711,0
324,1097,773,104,669,0
327,1106,779,4,774,1
331,1108,777,2,775,0
335,1111,776,3,773,0
341,1120,779,8,771,0
328,1150,822,1,801,20
329,1153,824,1,811,12
330,1156,826,4,796,26
332,1161,829,4,799,26
333,1162,829,1,816,12
326,1201,875,100,775,0
336,1203,867,1,839,27
337,1249,912,45,858,9
339,1266,927,17,883,27
334,1276,942,113,802,27
342,1277,935,11,911,13
354,1296,942,18,898,26
360,1324,964,43,895,26
350,1348,998,51,935,12
344,1376,1032,9,1022,1
361,1418,1057,95,951,11
365,1435,1070,49,1010,11
363,1460,1097,52,1045,0
345,1469,1124,6,1118,0
349,1524,1175,29,1146,0
364,1571,1207,105,1102,0
356,1590,1234,65,1169,0
314,1591,1277,3,364,910
346,1660,1314,2,1122,190
347,1866,1519,1,905,613
366,1902,1536,315,1221,0
305,1910,1605,2,10,1593
303,2072,1769,10,1,1758
301,2088,1787,14,0,1772
313,2269,1956,1,544,1411
357,2501,2144,1,1228,914
355,2539,2184,3,913,1268
362,2720,2358,2,331,2025
315,369,54,47,7,0
318,372,54,3,51,0
307,531,224,158,66,0
314,592,278,60,216,2
337,633,296,36,260,0
311,641,330,2,328,0
312,649,337,331,5,0
319,715,396,74,321,1
321,743,422,83,334,5
325,775,450,64,386,0
340,801,461,60,401,0
322,821,499,2,497,0
324,865,541,44,497,0
326,905,579,39,540,0
328,1005,677,100,577,0
330,1010,680,4,676,0
332,1012,680,1,679,0
334,1014,680,1,679,0
336,1016,680,1,679,0
338,1019,681,3,678,0
341,1031,690,11,679,0
343,1052,709,20,689,0
345,1063,718,11,707,0
347,1073,726,9,717,0
351,1114,763,37,726,0
363,1145,782,369,413,0
354,1171,817,55,762,0
323,1194,871,7,864,0
333,1198,865,3,862,0
339,1200,861,1,860,0
344,1209,865,9,856,0
348,1215,867,6,861,0
353,1241,888,61,826,1
327,1268,941,79,861,1
356,1270,914,1,913,0
361,1273,912,2,910,0
309,1276,967,30,937,0
310,1334,1024,56,968,0
331,1351,1020,3,1017,0
342,1368,1026,16,1010,0
346,1374,1028,6,1022,0
352,1390,1038,15,1023,0
329,1391,1062,95,967,0
335,1397,1062,5,1057,0
357,1410,1053,13,1040,0
359,1449,1090,40,1050,0
355,1465,1110,75,1035,0
368,1501,1133,50,1083,0
362,1514,1152,48,1104,0
365,1582,1217,58,1159,0
366,1632,1266,111,1155,0
369,1653,1284,74,1207,3
349,1668,1319,1,725,593
367,1701,1334,57,1276,1
317,1800,1483,3,323,1157
350,1946,1596,2,725,869
308,2064,1756,2,10,1744
320,2144,1824,427,1397,0
306,2257,1951,10,1,1940
304,2281,1977,12,0,1964
316,2285,1969,1,278,1690
360,2576,2216,1,1090,1125
358,2726,2368,1,918,1449
364,2800,2436,3,445,1988
2819,2827,8,3,5,0
2825,2870,45,38,7,0
2812,2927,115,55,60,0
2813,2930,117,2,115,0
2814,3001,187,70,117,0
2815,3129,314,60,254,0
2821,3137,316,74,242,0
2811,3172,361,26,335,0
2833,3177,344,1,343,0
2860,3225,365,47,318,0
2820,3306,486,68,417,1
2809,3642,833,823,10,0
2842,3654,812,11,801,0
2816,3687,871,24,847,0
2823,3699,876,2,874,0
2827,3732,905,31,874,0
2824,3758,934,7,927,0
2849,3765,916,6,910,0
2826,3825,999,60,938,1
2822,3928,1106,621,484,1
2848,3939,1091,10,1081,0
2830,4055,1225,94,1131,0
2828,4427,1599,585,1014,0
2856,4434,1578,378,1200,0
2852,4469,1617,41,1576,0
2866,4495,1629,62,1565,2
2854,4567,1713,59,1654,0
2855,4573,1718,102,1616,0
2831,4585,1754,4,1750,0
2834,4586,1752,3,1749,0
2840,4588,1748,1,1747,0
2844,4646,1802,57,1745,0
2835,4654,1819,2,1817,0
2839,4657,1818,3,1815,0
2845,4665,1820,7,1813,0
2853,4683,1830,16,1814,0
2857,4685,1828,2,1826,0
2862,4690,1828,1,1827,0
2838,4708,1870,122,1748,0
2858,4722,1864,15,1849,0
2863,4765,1902,43,1859,0
2864,4770,1906,79,1827,0
2869,4831,1962,60,1902,0
2836,4860,2024,4,2020,0
2867,4864,1997,97,1900,0
2837,4883,2046,2,2044,0
2868,4911,2043,59,1984,0
2843,4943,2100,15,2080,5
2841,4974,2133,59,2073,1
2870,4985,2115,70,2044,1
2847,4992,2145,6,2139,0
2846,5000,2154,14,2140,0
2818,5079,2261,4,7,2250
2850,5080,2230,1,1816,413
2832,5109,2277,2,2275,0
2851,5167,2316,2,1089,1225
2810,5308,2498,2,17,2479
2806,5660,2854,17,1,2836
2808,5660,2852,11,0,2841
2817,5718,2901,2,356,2543
2829,5782,2953,753,2200,0
2861,5950,3089,2,1826,1261
2859,6082,3223,2,1826,1395
2865,6275,3410,1,1901,1508
