creation,exit,response,execution,wait,io
4760,4882,122,1,76,45
4754,4776,22,5,71,161
4764,4906,142,1,46,183
4765,5029,264,7,158,1303
4768,6033,1265,31,1045,390
4771,5908,1137,26,935,504
4773,5068,295,2,117,1344
4775,5102,327,3,160,1299
4778,5040,262,1,98,1361
4780,5105,325,3,168,1287
4803,6630,1827,1,109,1782
4750,6568,1818,172,1672,428
4753,6324,1571,73,1408,789
4757,5124,367,28,391,1849
4759,7025,2266,1,114,2151
4762,6295,1533,67,1325,872
4766,5390,624,18,564,1679
4770,6475,1705,124,1433,701
4772,5101,329,3,209,2044
4776,5039,263,1,157,2095
4781,5043,262,1,166,2082
4783,6583,1800,12,200,2035
4786,6579,1793,9,199,2037
4788,6537,1749,4,157,2082
4793,6849,2056,49,404,1786
4796,6961,2165,49,433,1755
4799,6722,1923,14,208,2013
4804,6958,2154,46,406,1778
4752,5229,477,37,510,1739
4758,7039,2281,2,331,1948
4763,6447,1684,110,1446,720
4769,6373,1604,86,1418,767
4774,5038,264,1,177,2129
4784,6608,1824,16,218,2065
4787,6598,1811,12,215,2069
4792,7084,2292,1,97,2194
4798,6628,1830,1,150,2137
4810,7068,2258,52,387,1839
4748,7088,2340,16,122,2202
4777,5169,392,5,304,2005
4785,6632,1847,21,246,2040
4790,6548,1758,6,200,2096
4797,7094,2297,73,500,1724
4749,7096,2347,6,172,2169
4779,6138,1359,41,1242,1036
4791,7099,2308,1,195,2112
4801,6928,2127,42,410,1847
4751,7044,2293,2,286,2062
4789,6586,1797,10,231,2073
4794,6610,1816,15,255,2045
4805,7133,2328,79,536,1713
4756,7310,2554,54,1693,807
4782,7323,2541,46,618,1877
4795,7347,2552,52,805,1695
4808,7383,2575,120,674,1781
4755,7384,2629,65,463,2101
4802,7479,2677,1,154,2522
4809,7569,2760,46,642,2072
4767,7599,2832,50,560,2222
4807,7605,2798,50,714,2034
4811,7633,2822,57,696,2069
4761,7636,2875,61,616,2198
4800,7659,2859,1,224,2634
4806,7845,3039,1,175,2863
11278,11314,36,5,32,30
11281,11655,374,29,345,0
11284,11739,455,1,108,346
11288,11776,488,1,70,417
11286,12874,1588,65,1100,436
11289,12034,745,6,329,1264
11292,12687,1395,33,922,642
11295,12593,1298,24,817,755
11297,11915,618,2,159,1433
11300,11873,573,1,134,1457
11303,12697,1394,34,923,633
11305,11876,571,1,133,1454
11296,12001,705,4,252,1347
11299,11960,661,3,215,1382
11304,11964,660,3,227,1366
11328,13209,1881,2,155,1789
11273,13615,2342,6,117,2219
11276,11677,401,32,528,1780
11279,12844,1565,63,1437,838
11282,13618,2336,1,150,2185
11287,13002,1715,88,1249,994
11290,12431,1141,18,775,1536
11294,13040,1746,95,1223,1008
11302,11874,572,1,199,2119
11308,13004,1696,10,241,2063
11310,13058,1748,23,232,2057
11313,13134,1821,5,178,2127
11316,13624,2308,1,182,2125
11318,13422,2104,54,392,1860
11321,13534,2213,52,454,1798
11324,13287,1963,13,245,2044
11329,13511,2182,44,440,1814
11274,13099,1825,173,1703,480
11283,13632,2349,1,102,2246
11293,13065,1772,105,1251,983
11309,13029,1720,14,222,2089
11312,13171,1859,14,214,2094
11317,13635,2318,2,143,2173
11323,13199,1876,1,190,2123
